,bt,bz,yogunluk,hız,kp
514,6.9,-1.6,6.4,345.0,13.0
515,7.1,-2.4,8.4,357.0,10.0
516,7.0,-0.2,7.9,355.0,10.0
517,3.4,1.1,10.2,350.0,10.0
518,4.2,1.7,10.2,351.0,3.0
519,3.8,-0.4,10.0,346.0,3.0
520,3.8,0.9,9.8,347.0,3.0
521,4.4,1.1,8.9,344.0,10.0
522,4.8,-2.2,7.8,337.0,10.0
523,4.8,-3.7,8.4,358.0,10.0
524,4.5,-3.6,8.8,359.0,30.0
525,4.2,-3.0,9.7,353.0,30.0
526,4.4,-2.6,12.4,356.0,30.0
527,5.7,-4.8,11.4,359.0,17.0
528,6.3,-3.1,10.1,355.0,17.0
529,5.2,-2.4,10.3,354.0,17.0
531,4.5,0.4,11.4,342.0,23.0
532,5.0,2.6,10.9,338.0,23.0
533,4.6,1.4,9.7,334.0,3.0
534,4.4,1.9,8.7,332.0,3.0
535,4.4,0.1,6.4,340.0,3.0
536,4.3,0.8,5.9,342.0,3.0
537,4.2,0.2,5.5,346.0,3.0
538,3.9,0.9,4.2,328.0,3.0
539,3.8,1.0,2.8,317.0,0.0
540,3.5,0.5,2.8,319.0,0.0
541,3.3,-1.1,3.4,325.0,0.0
542,3.4,-0.1,2.9,317.0,3.0
543,3.0,-0.2,4.0,316.0,3.0
544,3.5,-1.5,3.8,321.0,3.0
545,3.1,-2.1,5.5,333.0,13.0
546,3.2,-2.3,6.6,339.0,13.0
547,3.5,-2.3,7.0,339.0,13.0
548,3.9,-2.5,7.0,334.0,7.0
549,3.3,-1.5,8.4,330.0,7.0
550,3.6,-1.9,8.5,327.0,7.0
551,3.6,-0.1,6.8,319.0,10.0
552,3.3,-0.1,6.3,319.0,10.0
553,3.5,-1.7,5.4,317.0,10.0
554,3.4,-2.2,4.3,310.0,0.0
555,3.8,-1.9,4.2,310.0,0.0
556,4.1,-0.9,4.6,313.0,0.0
557,3.8,-0.1,5.3,318.0,0.0
558,3.2,0.1,8.1,324.0,0.0
559,3.2,-0.1,8.4,323.0,0.0
560,3.2,-0.2,8.6,326.0,0.0
561,3.5,0.2,8.2,327.0,0.0
562,3.5,-0.4,9.0,326.0,0.0
563,3.1,-0.7,10.0,324.0,3.0
564,3.2,-0.3,8.5,326.0,3.0
565,2.8,0.8,8.9,322.0,3.0
566,2.5,0.8,9.5,323.0,3.0
567,3.3,-0.5,9.5,325.0,3.0
569,3.5,0.7,9.9,317.0,3.0
570,3.4,0.3,9.1,312.0,3.0
571,3.7,0.7,9.6,307.0,3.0
572,3.9,0.9,9.7,306.0,3.0
573,3.8,1.4,8.9,303.0,3.0
575,2.8,-0.5,10.9,306.0,0.0
576,2.9,-1.5,10.1,304.0,0.0
577,2.8,-1.6,10.5,306.0,0.0
578,3.2,-2.0,11.3,306.0,23.0
579,3.2,-2.8,12.8,314.0,23.0
580,5.2,-2.2,9.6,312.0,23.0
581,5.0,-0.7,12.3,309.0,7.0
582,4.7,1.8,12.2,306.0,7.0
583,5.5,-0.1,9.1,306.0,7.0
585,4.5,1.9,10.6,302.0,3.0
586,4.0,1.8,11.1,296.0,3.0
587,3.9,1.0,10.4,295.0,3.0
588,3.6,-1.2,10.0,295.0,3.0
589,2.8,-0.1,9.9,294.0,3.0
590,3.5,2.0,8.5,296.0,0.0
591,2.5,1.3,10.6,296.0,0.0
592,3.2,1.6,10.4,299.0,0.0
593,4.5,0.9,9.3,303.0,3.0
594,5.6,3.8,11.6,310.0,3.0
595,5.3,4.1,12.0,301.0,3.0
596,3.7,1.5,12.2,297.0,0.0
597,4.2,1.4,9.8,289.0,0.0
598,4.3,1.2,9.1,293.0,0.0
599,4.1,-0.6,10.1,296.0,10.0
600,3.5,-1.5,9.5,303.0,10.0
601,2.9,-1.1,10.5,303.0,10.0
602,2.1,-0.7,12.4,307.0,7.0
603,1.6,-0.3,12.5,304.0,7.0
604,2.1,0.8,10.5,300.0,7.0
605,3.2,1.8,8.7,295.0,0.0
606,3.6,1.9,6.1,290.0,0.0
607,3.5,0.3,5.7,285.0,0.0
608,3.3,-0.7,5.6,281.0,3.0
609,3.4,-1.0,6.7,285.0,3.0
610,3.8,-0.2,10.7,285.0,3.0
611,3.6,-0.4,10.1,286.0,10.0
612,3.6,-2.1,10.1,295.0,10.0
613,4.0,-2.8,9.7,297.0,10.0
614,4.2,-2.1,11.7,301.0,17.0
615,4.1,-2.6,12.2,309.0,17.0
616,2.5,-0.4,15.4,312.0,17.0
617,2.0,0.2,17.1,315.0,7.0
618,1.3,1.1,17.6,318.0,7.0
619,1.7,-0.1,16.9,317.0,7.0
620,1.3,0.3,17.1,308.0,0.0
621,0.9,0.4,17.3,303.0,0.0
622,1.4,0.3,13.6,307.0,0.0
623,1.9,-0.1,11.8,310.0,3.0
624,0.7,-0.1,12.9,309.0,3.0
